10.000	17.752	The RustFS module opens with Service, Version, Configuration, Log, and Error Log tabs.
18.032	27.320	The Version tab lists RustFS 1.0.0-beta.11-preview.1 with an Install action.
27.600	32.232	The selected RustFS release is downloading in the Version tab.
32.512	36.784	The Version tab then marks that RustFS release installed.
37.064	44.024	The Service tab shows the installed version, data directory, environment, and start control.
44.304	52.032	Configuration presents RustFS address, console address, security, and KMS fields.
55.000	61.552	Additional configuration sections show Console, observability, and performance settings.
68.000	72.800	The Log tab displays the visible RustFS startup log entries.
78.000	87.816	The local RustFS Console opens at 127.0.0.1:9001 with Key Login and STS Login.
88.096	94.096	After login, the Console opens the Buckets page, which currently shows no buckets.
94.376	97.904	The Access Keys view opens its Create Key form.
102.000	107.976	The Console confirms a new access key and warns that the secret key is shown only once.
108.256	112.024	The Access Keys table shows the newly available key.
112.304	115.280	The Console then shows the Users page.
118.000	122.248	The User Groups page and Bucket Events navigation are visible.
122.528	126.824	The Lifecycle page is also visible without any buckets.
127.104	133.344	FlyEnv returns to the running RustFS service while the Console remains open behind it.
